Text,labels,Tokens_used
"crosses cuz wan na muslim,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""hate""]",553
"outline crosses black,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"chrome hearts tuff,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"want crosses logo becuase lot people saying crosses saying,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",555
"bc get black sweat pants wore essentials hoodie need know,","Brand_labels: [""product quality""]
Emotion_labels: []",552
"hearing kim kardashian west hits diff,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"first time seeing chrome hearts fit looked appealing everybody else looking homeless,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""love""]",562
"could never make hate,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""hate""]",551
"best impromptu interviews cute see get nervous still fame,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",555
"free,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",609
"man better chrome heart,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"hi bro got chrome hearts design,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"cleaner sharper love,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"yooo thats tuff,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",549
"better take good care,","Brand_labels: [""customer service""]
Emotion_labels: []",546
"lighter eyelash curler,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"dont smoke would id decorate lighter,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",551
"ion smoke js like carrying lighter around,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",551
"lighter would burn random pieces paper panic theyre fire,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",556
"ion smoke ts lighting bath n body works candles,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",553
"soph want pink one,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"omg best nail transition ive ever seen,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",552
"everything immaculate,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"chase alantic hell yeaaa,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",554
"transition hit little different,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",549
"chase atlantic song makes much better nails tho,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",554
"smooth hell,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",547
"smooothh,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"awww fact looked tired anyway,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",553
"right,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",545
"seconddd gerald comin nails,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"everyone comments crazy right im right dying soft okay,","Brand_labels: [""product quality""]
Emotion_labels: []",551
"hes great actor already knew looked like showed definitely cute,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""great""]",556
"yes yes im chase atlantic nail trend,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",553
"thats im learning gel x nails,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"transition went hard,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",550
"bestie r u based r atleast r u near tampa fl techs dont nails like,","Brand_labels: [""customer service""]
Emotion_labels: []",560
"lives sky tonight shes satisfied,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",573
"chrome hearts arm sling outrageous,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",550
"chrome hearts biker brand begin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"chrome hearts arm wrap beyond clean,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"chrome hearts 100,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"carti fans realize opium aesthetic isnt new new yall,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",556
"ahhh enchantress transition,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",552
"would go blind accidentally made someone blind within 2 days,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",556
"giving agora hills aesthetic,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"watch nail thirst trap,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",549
"wish could long nailssss,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"nahh transition ate,","Brand_labels: [""sustainability""]
Emotion_labels: [""love""]",548
"chrome hearts x nature collab go brazy,","Brand_labels: [""reputation & heritage"", ""sustainability""]
Emotion_labels: []",557
"put resin ill buy one,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"whats asking price,","Brand_labels: [""customer service""]
Emotion_labels: []",546
"fashion brainrot,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"might cop,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",547
"car stop right way,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",548
"love entitlement security lol,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"free insurance check right toyota fumbled bag,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",553
"wan na see try cut collecting check,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",553
"always wondered stay together without disbanding due lights vehicles apparently dont care,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",561
"cant bro wait till get green stay together,","Brand_labels: [""sustainability""]
Emotion_labels: [""excited""]",553
"nah goin hit car get front,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",552
"ive driving around toronto past 2 weeks trying get hit guys insurance check,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",560
"need chrome hearts lighter,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"another universe,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",610
"two sides fr,","Brand_labels: [""reputation & heritage"", ""ethical practices""]
Emotion_labels: [""disappointed""]",554
"candles tho,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"followed effing script,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",550
"wish rich could get,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"alex need matching ones wedding,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"wishing rich rn,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",551
"yes please,","Brand_labels: [""customer service""]
Emotion_labels: []",544
"omg im obsessed matthew,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"wedding gift please,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",548
"catwalk millions,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"walk alot bettr offwhite one,","Brand_labels: [""product quality""]
Emotion_labels: [""great""]",551
"shaymaonpluto realrayen_ maryem walking like queen w new hair,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",562
"user285010472374 im loving hair color ngl,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",555
"walk pleasing,","Brand_labels: [""product quality"", ""customer service""]
Emotion_labels: [""love""]",550
"perfect seeing next model year,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"love black woman,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"im sorry one touching,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",549
"shes breathtakingly gorgeous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"nepo babies could never,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",553
"literally gasped,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",549
"birth supermodel,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"gatekeepin gas station wild,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",551
"wveryone gatekeeping location,","Brand_labels: [""customer service""]
Emotion_labels: [""hate""]",551
"idk location loves truck stop similar stuff,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"may hand location magnificent place,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"sell jewelry weapons favorite expired grocery store,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",574
"𝔐𝔞𝔯𝔦𝔢 stuff exist america,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",562
"love wink,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",568
"giving early 2000s survivor,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"cvthss omg wink,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",573
"shalow gisele e naomi afundavam chão,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",558
"thats god made top model,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"red hair suits well,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"shes gorgeous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"thought hole,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",569
"wow shes gorgeous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"whats song,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",611
"first top wow,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",548
"please share prices,","Brand_labels: [""customer service""]
Emotion_labels: []",545
"anybody know prices bags tropez,","Brand_labels: [""customer service""]
Emotion_labels: []",549
"please make haul also nyc weekend finally able go shop bought things cutest place ever,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",561
"know shes,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"girl aint playing,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",551
"yeah ategiving otherworldly,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"loveeee mirror combined skin smoke woah,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",552
"chic man,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"edit hyunjin perfection,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"fav editor hyunjin quality sooo,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"camera couldnt handle slay,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",550
"camera fainted cuz u serving much,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",554
"swear love feminine masculine energy way embody amazing,","Brand_labels: [""product quality""]
Emotion_labels: [""love"", ""amazing""]",557
"literally influencer like,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"cam got slayed,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"ughhhhhh yessss,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",551
"literally stunned us camera flex,","Brand_labels: [""product quality""]
Emotion_labels: [""impressed""]",551
"family name kind islamic,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"thought adriana lima person,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"known ronaldos ex,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"sheikh islamova islamic roots,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"beautiful woman planet,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"im really obsessed,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"totally agree,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",569
"cool info thanks wupples,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"youre going spend big bucksthis overall better option salt baes restaurant brickellnow thats overpriced right,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",568
"knows models celebrity,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"none get point shes asking outfit looks better models celeb yes stella model wore diff event,","Brand_labels: [""product quality""]
Emotion_labels: []",561
"old versace better quality original designer brands cheap recycle ideas,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""disappointed""]",562
"looks cheaper,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",546
"j lo dress iconic till started wearing every occasion,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"new ones giving fashion nova,","Brand_labels: [""product quality""]
Emotion_labels: []",547
"wont fall,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"thats find nice piece cant buy,","Brand_labels: [""product quality""]
Emotion_labels: []",549
"bro still alive yeah yeah,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"least didnt yeah yeah,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",571
"andy got explaining,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",547
"girl dont smoke please bad,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",549
"smoking really smart,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"heyyitsash_,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",612
"kaileyb2 literally hot,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"shes beautiful im sure living stop light must hard times im sure money good hardly privacy must hard,","Brand_labels: [""customer service""]
Emotion_labels: [""hard""]",563
"showing us done,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""impressed""]",551
"know model probably went exact process right,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"went swimming putting clothes,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"imagine amount baby oil lube used,","Brand_labels: [""product quality""]
Emotion_labels: []",550
"yoo comments r heated r coming everyone haters kim creator read comments listen song 30 mins,","Brand_labels: [""customer service""]
Emotion_labels: [""hate""]",564
"first one fire,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",548
"north reposted turn,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"whys everyone saying got famous cause north cause literally became famous due trend made skincare sound north knew cause got famous,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",566
"actually,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",568
"absolutely gorgeous,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"knew famous didnt know famous like,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"ke huy quan must protected costs,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",552
"ke huy quan hype man need lives need,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",557
"love hes still child heart,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"inner child healing filled euphoria dreams coming fruition im happy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",558
"never forgot ab since indiana jones deserves award happy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""happy""]",557
"hes perfect,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"find pics,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"way fyp found posted 8 minutes ago,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",617
"every time see stray kids tiktok cant help smile look happy,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",558
"literally plays song head walks cause mean,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",555
"shes fire,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"shes iconic,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"dude name one created cristobal balenciaga,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",555
"yall onto nothing,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""disappointed""]",571
"first ba len ci aga 2nd baal enci aga changed,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",563
"look baal already hitting griddy uk,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"bros onto nothing,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"really hdksjdjd lol,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: []",570
"north literally kanye,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"shoes north wearing,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"kids shoes crack,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",547
"lets talk norths outfit giving rockstar badass emo babeeeebyyyy,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",558
"outfit,","Brand_labels: [""product quality""]
Emotion_labels: []",544
"hey looking handsome suit dance really good,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"plese hire balenciaga,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"cool,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",545
"gosh beautiful,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"maceylamming hes tik tok maceu found,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",556
"wait gunna drop one song know soon,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",575
"andrew tate trump welcome brother,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",554
"ye also cut ties kanye west,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",554
"kanye got every contract without legal repercussions fines genius,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amazed""]",557
"whatd funny companies blew cuz name em,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",555
"partnership friends,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"companys afraid heard speak truth,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",553
"watching lose career crazy think,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""crazy""]",553
"thought yall language learning app,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"im 2024 watched many row entering hysteria,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",556
"think im already month late russian lesson family still exists,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",555
"get family back yet,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",549
"duolingos social media team another lever,","Brand_labels: [""social impact""]
Emotion_labels: [""neutral""]",552
"genuinely thought fall,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",550
"know know,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",548
"isnathen,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",570
"yall really picking sides balenciaga gucci owner,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",555
"balenciaga get cancelled gucci big luxury name brands cs ran kering,","Brand_labels: [""reputation & heritage"", ""customer service""]
Emotion_labels: []",563
"balenciaga elites work together,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"owner balenciaga owns gucci,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"yall think balenciaga got caught huge brands corporations arent things behind closed doors,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",561
"like write shein already,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"literally every company connected way,","Brand_labels: [""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: []",566
"obviously collab balenciaga gucci last year thing,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",556
"everything ateeeee wow,","Brand_labels: [""product quality""]
Emotion_labels: [""amazed""]",550
"cool feel like kinda fashion designers need well known,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"maison alaïa never wrong absolute amazing consistent season,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""amazing""]",563
"couldnt even pick favorite,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",550
"one best collections rn,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"wish money pieces,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",547
"second dress giant pink coat need cream maxi sheer dress mini pleat drapery last one,","Brand_labels: [""product quality""]
Emotion_labels: []",560
"natasha poly maryacarla bosconos beauty look unreal,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",557
"finished,","Brand_labels: [""customer service""]
Emotion_labels: [""neutral""]",545
"someone plez tell happen balenciagasorng tlong la crita cept,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",564
"wish wouldve walked show,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"finally leave bedroom two months,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",550
"shes everything,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"eating,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great""]",570
"shes icon legend moment,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"sis really never fails looks,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",551
"mith nt real one,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"username10739 magicshopp vpffltk navyous nih keittt,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",624
"shes cute,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"omg shes adorable,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",571
"calls lili show,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",551
"god bless humblepretty acting age amazing job mom,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""amazing""]",556
"many positive ideas adamaris love love love,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"anger issues could never,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",549
"anger issues impatience well,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",550
"fact shes laughing feel alaias frustration,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",553
"hilarious cause dang really dont wan na give turn,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",556
"tell whos favourite without telling whos favourite,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"luis fonzi really took l,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",554
"2 years tall u,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"sooooo cute nice young girl gbh,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",552
"love love adamaris lopez god bless strong boricua,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",559
"author,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",545
"first,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",609
"good tho hes really pretty seems sweet,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"hell people making drama hes happy hurting anyone let live,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",556
"train spotting guy opposite julliard rejection guy elaborating,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",558
"literally radiates nothing pure joy looks happy train part commercial people need stop hating,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",563
"supreme hella tacky,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",550
"youve never heard kenzo white ganni,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"shes wearing gucci shoes,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"omg know,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",570
"job would probably buy,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"shes wearing gucci shoes,","Brand_labels: [""product quality""]
Emotion_labels: []",548
"gucci baby beautiful want,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",549
"rags 2 riches,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"wild cotton tail got one abt age today cat attacked care ive buns wild cats dont go room btw hes safe,","Brand_labels: [""product quality"", ""customer service"", ""sustainability""]
Emotion_labels: [""love""]",575
"amazing job one rabbit owner another anything flour gluten really bad stomachs,","Brand_labels: [""customer service""]
Emotion_labels: [""amazing""]",559
"yourbaemarlene reyna_luvs_u want oneee,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",559
"id give rest life one day chihuahua,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",576
"love chihuahuas thrive chaos,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"chihuahuas cutest angriest little goblins,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",556
"spicy love language,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"dog defending fiercely vicious attack,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",552
"perfect show stopping never seen star periodt,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",552
"excited,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",569
"disrespect surrounding,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",548
"rabbit always throw food dish fill dumps floor gets mad isnt dish,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",557
